order_id,order_date,ship_date,ship_mode,customer_id,segment,region,product_id,category,sub_category,quantity,unit_price,discount,sales,profit
ORD-000001,2026-01-31,2026-02-04,Standard Class,CUST-00467,Corporate,South,PROD-0001,Technology,Machines,7,56.98,0.2,319.09,64.0
ORD-000002,2023-05-11,2023-05-17,Standard Class,CUST-00277,Home Office,South,PROD-0002,Furniture,Furnishings,1,277.3,0.0,277.3,32.16
ORD-000003,2024-04-19,2024-04-22,Standard Class,CUST-00687,Consumer,South,PROD-0003,Office Supplies,Art,3,347.3,0.5,520.95,69.49
ORD-000004,2024-10-08,2024-10-13,Standard Class,CUST-00777,Home Office,South,PROD-0004,Office Supplies,Paper,10,92.42,0.1,831.78,99.88
ORD-000005,2024-05-23,2024-05-30,Second Class,CUST-00390,Consumer,South,PROD-0005,Furniture,Chairs,6,494.31,0.0,2965.86,1141.24
ORD-000006,2024-12-30,2025-01-03,First Class,CUST-00456,Corporate,South,PROD-0006,Technology,Accessories,7,471.15,0.3,2308.63,744.0
ORD-000007,2023-12-04,2023-12-11,Standard Class,CUST-00041,Consumer,East,PROD-0007,Technology,Accessories,1,18.99,0.0,18.99,1.85
ORD-000008,2024-10-09,2024-10-16,Second Class,CUST-00773,Corporate,South,PROD-0008,Technology,Phones,10,325.83,0.0,3258.3,1080.29
ORD-000009,2025-02-18,2025-02-20,Second Class,CUST-00684,Corporate,Central,PROD-0009,Furniture,Bookcases,8,250.88,0.0,2007.04,183.57
ORD-000010,2024-10-04,2024-10-05,Standard Class,CUST-00207,Consumer,Central,PROD-0010,Technology,Machines,10,27.75,0.0,277.5,-23.39
ORD-000011,2025-01-12,2025-01-13,Second Class,CUST-00655,Consumer,West,PROD-0011,Office Supplies,Art,11,186.74,0.3,1437.9,286.76
ORD-000012,2026-06-20,2026-06-26,Standard Class,CUST-00796,Consumer,East,PROD-0012,Technology,Accessories,4,803.84,0.0,3215.36,976.57
ORD-000013,2026-06-08,2026-06-14,First Class,CUST-00745,Consumer,Central,PROD-0013,Furniture,Chairs,3,11.22,0.0,33.66,3.66
ORD-000014,2026-06-02,2026-06-05,Standard Class,CUST-00692,Consumer,West,PROD-0014,Office Supplies,Storage,1,63.08,0.0,63.08,1.48
ORD-000015,2026-02-10,2026-02-15,Standard Class,CUST-00566,Corporate,Central,PROD-0015,Office Supplies,Binders,7,254.39,0.2,1424.58,28.18
ORD-000016,2026-02-27,2026-03-04,Standard Class,CUST-00767,Corporate,Central,PROD-0016,Office Supplies,Art,6,334.17,0.1,1804.52,391.16
ORD-000017,2025-01-21,2025-01-22,First Class,CUST-00764,Corporate,West,PROD-0017,Furniture,Bookcases,11,202.12,0.1,2000.99,609.8
ORD-000018,2026-03-17,2026-03-24,First Class,CUST-00641,Consumer,South,PROD-0018,Furniture,Chairs,11,310.25,0.0,3412.75,1236.6
ORD-000019,2023-09-20,2023-09-24,Standard Class,CUST-00897,Corporate,East,PROD-0019,Furniture,Furnishings,5,810.87,0.1,3648.91,253.65
ORD-000020,2026-01-27,2026-01-30,Second Class,CUST-00628,Home Office,South,PROD-0020,Technology,Machines,11,842.39,0.15,7876.35,1846.96
ORD-000021,2023-09-11,2023-09-14,Standard Class,CUST-00878,Home Office,Central,PROD-0021,Office Supplies,Binders,2,439.62,0.0,879.24,349.26
ORD-000022,2023-06-10,2023-06-14,Second Class,CUST-00135,Corporate,South,PROD-0022,Furniture,Chairs,3,593.56,0.0,1780.68,-94.67
ORD-000023,2024-04-14,2024-04-21,Second Class,CUST-00226,Home Office,Central,PROD-0023,Office Supplies,Labels,5,454.86,0.0,2274.3,332.64
ORD-000024,2024-03-28,2024-04-01,Second Class,CUST-00017,Consumer,South,PROD-0024,Technology,Machines,5,795.73,0.1,3580.79,1348.3
ORD-000025,2024-05-11,2024-05-17,Standard Class,CUST-00161,Home Office,South,PROD-0025,Technology,Machines,3,156.7,0.0,470.1,173.03
ORD-000026,2024-07-23,2024-07-26,Standard Class,CUST-00639,Corporate,South,PROD-0026,Office Supplies,Paper,11,269.29,0.0,2962.19,960.74
ORD-000027,2023-09-03,2023-09-10,Second Class,CUST-00828,Consumer,Central,PROD-0027,Office Supplies,Paper,10,9.64,0.1,86.76,-0.25
ORD-000028,2024-05-26,2024-06-01,Standard Class,CUST-00834,Consumer,Central,PROD-0028,Technology,Copiers,7,606.46,0.0,4245.22,-95.43
ORD-000029,2026-04-28,2026-05-03,Standard Class,CUST-00783,Consumer,West,PROD-0029,Technology,Accessories,6,485.69,0.0,2914.14,914.85
ORD-000030,2025-09-30,2025-10-04,Standard Class,CUST-00047,Consumer,West,PROD-0030,Office Supplies,Art,3,575.5,0.1,1553.85,602.78
ORD-000031,2024-09-27,2024-09-29,Standard Class,CUST-00346,Consumer,South,PROD-0031,Office Supplies,Binders,5,169.98,0.0,849.9,97.02
ORD-000032,2025-10-09,2025-10-10,Standard Class,CUST-00560,Consumer,Central,PROD-0032,Furniture,Chairs,9,595.88,0.0,5362.92,2024.14
ORD-000033,2024-12-04,2024-12-11,Standard Class,CUST-00435,Consumer,Central,PROD-0033,Office Supplies,Labels,5,112.55,0.0,562.75,-30.45
ORD-000034,2025-12-06,2025-12-07,Standard Class,CUST-00432,Consumer,East,PROD-0034,Office Supplies,Art,5,428.76,0.0,2143.8,250.67
ORD-000035,2023-01-23,2023-01-25,Standard Class,CUST-00762,Consumer,South,PROD-0035,Office Supplies,Labels,3,455.31,0.2,1092.74,250.62
ORD-000036,2024-05-30,2024-06-06,First Class,CUST-00690,Corporate,South,PROD-0036,Technology,Copiers,3,580.74,0.0,1742.22,301.07
ORD-000037,2026-04-06,2026-04-08,Standard Class,CUST-00253,Consumer,East,PROD-0037,Furniture,Chairs,3,558.34,0.0,1675.02,381.67
ORD-000038,2024-08-27,2024-08-29,Standard Class,CUST-00501,Consumer,Central,PROD-0038,Office Supplies,Paper,2,567.9,0.2,908.64,243.09
ORD-000039,2025-10-17,2025-10-18,Standard Class,CUST-00099,Corporate,East,PROD-0039,Office Supplies,Labels,4,337.96,0.15,1149.06,80.9
ORD-000040,2026-04-28,2026-05-03,Standard Class,CUST-00798,Corporate,East,PROD-0040,Furniture,Bookcases,1,483.22,0.0,483.22,45.81
ORD-000041,2024-02-01,2024-02-04,First Class,CUST-00265,Home Office,South,PROD-0041,Furniture,Furnishings,7,861.34,0.1,5426.44,766.54
ORD-000042,2023-05-24,2023-05-29,Standard Class,CUST-00565,Corporate,East,PROD-0042,Furniture,Furnishings,7,704.26,0.0,4929.82,1801.67
ORD-000043,2026-04-24,2026-05-01,Standard Class,CUST-00843,Corporate,East,PROD-0043,Technology,Accessories,2,871.94,0.1,1569.49,499.85
ORD-000044,2025-07-01,2025-07-06,Standard Class,CUST-00795,Consumer,East,PROD-0044,Technology,Accessories,10,136.21,0.0,1362.1,22.63
ORD-000045,2024-05-14,2024-05-15,Standard Class,CUST-00415,Corporate,East,PROD-0045,Technology,Phones,3,700.55,0.0,2101.65,235.62
ORD-000046,2023-02-08,2023-02-14,Standard Class,CUST-00476,Consumer,West,PROD-0046,Office Supplies,Labels,8,110.19,0.1,793.37,216.61
ORD-000047,2023-12-14,2023-12-20,Standard Class,CUST-00117,Consumer,East,PROD-0047,Office Supplies,Art,6,722.89,0.3,3036.14,540.44
ORD-000048,2025-03-25,2025-03-30,Standard Class,CUST-00659,Home Office,Central,PROD-0048,Furniture,Chairs,4,72.51,0.0,290.04,2.44
ORD-000049,2026-03-12,2026-03-19,Second Class,CUST-00012,Consumer,West,PROD-0049,Technology,Accessories,10,855.62,0.2,6844.96,874.98
ORD-000050,2024-10-29,2024-11-03,Standard Class,CUST-00178,Consumer,South,PROD-0050,Office Supplies,Art,5,877.08,0.5,2192.7,546.16
ORD-000051,2026-03-14,2026-03-15,Standard Class,CUST-00558,Corporate,East,PROD-0051,Office Supplies,Art,3,741.17,0.3,1556.46,409.13
